item_code,item_name,category,uom,predicted_rate,source,last_po_price,last_po_date,erp_rate,live_metal_rate
AL-222-00243,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730 | IEC 60317-Part-28, Class-H, Size: 9 × 3.5, Super Enamelled 0.11 mm (Finished OD= 9.11×3.61)",AL-222-,KGS,417.0,recent PO (age-weighted),417.0,2025-11-13,,367.9
AL-222-00246,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730 | IEC 60317-Part-28, Class-H, Size: 9.4×5.2, Super Enamelled 0.12 mm (Finished OD= 9.52×5.32)",AL-222-,KGS,436.02,costing formula (live metal),407.2,2025-10-30,,367.9
AL-222-00251,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730 | IEC 60317-Part-28, Class-H, Size: 9.5 × 2.12, FG Covering 0.3 mm (Finished OD= 9.8 × 2.42)",AL-222-,KGS,436.02,costing formula (live metal),460.0,2026-01-07,,367.9
AL-222-00250,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730 | IEC 60317-Part-28, Class-H, Size: 9.5 × 3.2, FG Covering 0.3 mm (Finished OD= 9.8 × 3.5)",AL-222-,KGS,436.02,costing formula (live metal),460.0,2026-01-07,,367.9
AL-222-00151,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730 | IEC 60317-Part-28, Class-H, Size: 9.5×3.5, Super Enamelled 0.11 mm (Finished OD= 9.61×3.61)",AL-222-,KGS,436.02,costing formula (live metal),,,0,367.9
AL-222-00008,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730-Part-27, Class-A, Size:  9.5 x 4.8, PC 0.35 MM Kraft Paper Covering",AL-222-,KGS,436.02,costing formula (live metal),,,0,367.9
AL-222-00009,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730-Part-27, Class-A, Size: 12.6 x 5.0, PC 0.35 MM Kraft Paper Covering",AL-222-,KGS,436.02,costing formula (live metal),,,0,367.9
AL-222-00007,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730-Part-27, Class-A, Size: 8.1 x 4.9, PC 0.35 MM Kraft Paper Covering",AL-222-,KGS,436.02,costing formula (live metal),,,0,367.9
AL-222-00076,"AL Rectangular Conductor, Aluminium Strip, As per IS:13730-Part-27, Class-H, Size: 8.5 x3.0, Super Enamelled 0.12 mm",AL-222-,KGS,436.02,costing formula (live metal),,,0,367.9
AL-222-00290,"AL Rectangular Conductor, Aluminium Strip, Size : 6 × 3mm, Super Enamelled 0.12mm,  Finished OD=6.12 × 3.12mm, UL Approved.",AL-222-,KGS,436.02,costing formula (live metal),515.0,2026-08-05,,367.9
AL-222-00287,"AL Rectangular Conductor, Aluminium Strip, Size : 7 × 4mm, Super Enamelled 0.12mm, Finished OD = 7.12 × 4.12mm, UL Approved.",AL-222-,KGS,436.02,costing formula (live metal),535.0,2026-08-05,,367.9
AL-222-00288,"AL Rectangular Conductor, Aluminium Strip, Size : 8 × 3, Super Enamelled 0.12 mm, Finished OD = 8.12 × 3.12mm, UL Approved.",AL-222-,KGS,436.02,costing formula (live metal),535.0,2026-08-05,,367.9
AL-222-00286,"AL Rectangular Conductor, Aluminium Strip, Size : 9.4 × 5.2mm, Super Enamelled 0.12mm, Finished OD = 9.52 × 5.32mm, UL Approved.",AL-222-,KGS,436.02,costing formula (live metal),535.0,2026-08-05,,367.9
AL-222-00247,"AL Rectangular Conductor, Aluminum Strip, As per IS:13730 | IEC 60317-Part-28, Class-H, Size: 7×4, Super Enameled 0.12 mm (Finished OD= 7.12×4.12).",AL-222-,KGS,436.02,costing formula (live metal),407.2,2025-10-30,,367.9
AL-222-00283,"AL Round Conductor, Aluminium Wire Size : Ø0.457mm Super Enameled 0.08mm, Finished OD = 0.537 mm, Grade 2, Class H",AL-222-,KGS,436.02,costing formula (live metal),530.0,2026-06-20,,367.9
AL-222-00032,"AL Round Conductor, Aluminium Wire Ø0.41 MM, Super Enameled 0.11mm, Grade-2, Class H",AL-222-,KGS,436.02,costing formula (live metal),,,0,367.9
AL-222-00042,"AL Round Conductor, Aluminium Wire Ø1.30 MM, Super Enameled 0.11mm",AL-222-,KGS,436.02,costing formula (live metal),,,0,367.9
AL-222-00071,"AL Round Conductor, Aluminium Wire Ø1.9 MM, Super Enameled 0.1mm, Grade-2, Class H , IS 13730 | IEC 60317 | Part - 8",AL-222-,KGS,436.02,costing formula (live metal),,,0,367.9
AL-222-00073,"AL Round Conductor, Aluminium Wire Ø2.0 MM, Super Enameled 0.1mm, Grade-2, Class H , IS 13730 | IEC 60317 | Part - 8 (Finished OD=2.1MM)",AL-222-,KGS,436.02,costing formula (live metal),528.0,2026-06-18,0,367.9
AL-222-00025,"AL Round Conductor, Aluminium Wire Ø2.40 MM, Super Enameled 0.11mm, Finished OD = 2.51 mm",AL-222-,KGS,436.02,costing formula (live metal),,,0,367.9
AL-222-00019,"AL Round Conductor, Aluminium Wire Ø2.8 MM, Super Enameled  0.11mm",AL-222-,KGS,436.02,costing formula (live metal),,,0,367.9
AL-222-00045,"AL Round Conductor, Aluminium Wire Ø3.0 MM, Super Enameled 0.11mm, Grade-2, Class H",AL-222-,KGS,436.02,costing formula (live metal),402.0,2025-11-13,0,367.9
AL-222-00245,"AL Round Conductor, Aluminium Wire Ø3.8 MM, Super Enameled 0.12mm, Grade-2, Class H , IS 13730 | IEC 60317 | Part - 8 (Finished OD=3.92 MM)",AL-222-,KGS,436.02,costing formula (live metal),395.0,2025-10-30,,367.9
AL-222-00206,"AL Round Conductor, Aluminium Wire Ø4.27 MM, Super Enameled 0.11mm, As per IS:13730 ,(Finished OD=4.38 MM)",AL-222-,KGS,436.02,costing formula (live metal),,,0,367.9
AL-222-00010,"AL Round Conductor, Aluminium Wire, As per IS:6162-Part-1, Class-A, Size: Dia - 1MM, PC 0.20 MM Kraft Paper Covering",AL-222-,KGS,436.02,costing formula (live metal),,,0,367.9
AL-222-00011,"AL Round Conductor, Aluminium Wire, As per IS:6162-Part-1, Class-A, Size: Dia - 2.10 MM, PC 0.22 MM Kraft Paper Covering",AL-222-,KGS,436.02,costing formula (live metal),,,0,367.9
AL-222-00012,"AL Round Conductor, Aluminium Wire, As per IS:6162-Part-1, Class-A, Size: Dia - 2.50 MM, PC 0.22 MM Kraft Paper Covering",AL-222-,KGS,436.02,costing formula (live metal),,,0,367.9
AL-222-00291,"AL Round Conductor, Aluminium Wire, Size : Ø3.0mm, Super Enameled 0.11mm, Grade-2, Finished OD=3.11mm, UL Approved.",AL-222-,KGS,436.02,costing formula (live metal),515.0,2026-08-05,,367.9
AL-222-00289,"AL Round Conductor, Aluminium Wire, Size : Ø3.8mm, Super Enameled 0.12mm, Grade-2, Finished OD = Ø3.92mm, UL Approved.",AL-222-,KGS,436.02,costing formula (live metal),515.0,2026-08-05,,367.9
AL-222-00242,"AL Round Conductor, Wire Size : Bare Ø1 mm",AL-222-,KGS,436.02,costing formula (live metal),,,,367.9
WB-606-00006,"Aluminium Brazing Rod  L&T EutecRod, Size:3.15mm",WB-606-,KGS,432.32,costing formula (live metal),,,0,367.9
WB-606-00019,"Aluminium Brazing Rod, Size:22 X 1.6mm",WB-606-,KGS,432.32,costing formula (live metal),,,0,367.9
AL-222-00192,Aluminium Bus Bar Electrical Grade : A6101-T6 Size 20(W) x 5(T),AL-222-,KGS,415.0,recent PO (age-weighted),415.0,2026-07-17,0,367.9
AL-222-00189,Aluminium Bus Bar Electrical Grade : A6101-T6 Size 50(W) x 6(T),AL-222-,KGS,415.26,costing formula (live metal),,,0,367.9
AL-222-00269,"Aluminium Busbar, Electrical Grade: A6101-T6, Size: 100(W) x 12 (T) mm",AL-222-,KGS,422.31,recent PO (age-weighted),425.0,2026-07-31,,367.9
AL-222-00252,"Aluminium Busbar, Electrical Grade: A6101-T6, Size: 195(L) x 30(W) x 5 (T) mm, As per Drawing No : 2025-01-00-11",AL-222-,KGS,415.26,costing formula (live metal),,,,367.9
